0,5,1e-05,0.0,0.0
1,87,1e-05,0.0,1e-05
2,84,1e-05,0.0,2e-05
3,50,1e-05,1e-05,2e-05
4,23,2e-05,1e-05,2e-05
5,86,2e-05,1e-05,3e-05
6,43,2e-05,2e-05,3e-05
7,46,2e-05,3e-05,3e-05
8,92,2e-05,3e-05,4e-05
9,19,3e-05,3e-05,4e-05
10,28,4e-05,3e-05,4e-05
11,17,5e-05,3e-05,4e-05
12,93,5e-05,3e-05,5e-05
13,34,6e-05,3e-05,5e-05
14,22,7e-05,3e-05,5e-05
15,100,7e-05,3e-05,6e-05
16,66,7e-05,4e-05,6e-05
17,29,8e-05,4e-05,6e-05
18,96,8e-05,4e-05,7e-05
19,33,9e-05,4e-05,7e-05
20,42,9e-05,5e-05,7e-05
21,13,0.0001,5e-05,7e-05
22,9,0.00011,5e-05,7e-05
23,72,0.00011,6e-05,7e-05
24,29,0.00012,6e-05,7e-05
25,6,0.00013,6e-05,7e-05
26,89,0.00013,6e-05,8e-05
27,88,0.00013,6e-05,9e-05
28,28,0.00014,6e-05,9e-05
29,37,0.00015,6e-05,9e-05
30,10,0.00016,6e-05,9e-05
31,75,0.00016,7e-05,9e-05
32,71,0.00016,8e-05,9e-05
33,95,0.00016,8e-05,0.0001
34,1,0.00017,8e-05,0.0001
35,30,0.00018,8e-05,0.0001
36,27,0.00019,8e-05,0.0001
37,50,0.00019,9e-05,0.0001
38,1,0.0002,9e-05,0.0001
39,49,0.0002,0.0001,0.0001
40,65,0.0002,0.00011,0.0001
41,73,0.0002,0.00012,0.0001
42,51,0.0002,0.00013,0.0001
43,44,0.0002,0.00014,0.0001
44,49,0.0002,0.00015,0.0001
45,80,0.0002,0.00015,0.00011
46,25,0.00021,0.00015,0.00011
47,54,0.00021,0.00016,0.00011
48,37,0.00022,0.00016,0.00011
49,0,0.00023,0.00016,0.00011
50,28,0.00024,0.00016,0.00011
51,99,0.00024,0.00016,0.00012
52,87,0.00024,0.00016,0.00013
53,52,0.00024,0.00017,0.00013
54,97,0.00024,0.00017,0.00014
55,53,0.00024,0.00018,0.00014
56,80,0.00024,0.00018,0.00015
57,82,0.00024,0.00018,0.00016
58,93,0.00024,0.00018,0.00017
59,42,0.00024,0.00019,0.00017
60,25,0.00025,0.00019,0.00017
61,55,0.00025,0.0002,0.00017
62,31,0.00026,0.0002,0.00017
63,26,0.00027,0.0002,0.00017
64,63,0.00027,0.00021,0.00017
65,57,0.00027,0.00022,0.00017
66,25,0.00028,0.00022,0.00017
67,67,0.00028,0.00023,0.00017
68,71,0.00028,0.00024,0.00017
69,5,0.00029,0.00024,0.00017
70,66,0.00029,0.00025,0.00017
71,30,0.0003,0.00025,0.00017
72,62,0.0003,0.00026,0.00017
73,61,0.0003,0.00027,0.00017
74,96,0.0003,0.00027,0.00018
75,80,0.0003,0.00027,0.00019
76,60,0.0003,0.00028,0.00019
77,15,0.00031,0.00028,0.00019
78,92,0.00031,0.00028,0.0002
79,34,0.00032,0.00028,0.0002
80,49,0.00032,0.00029,0.0002
81,67,0.00032,0.0003,0.0002
82,93,0.00032,0.0003,0.00021
83,42,0.00032,0.00031,0.00021
84,23,0.00033,0.00031,0.00021
